Title,date_started,igdbid
God of War Ragnarök: Valhalla,4-Apr-24,279623
Gravity Rush 2: The Ark of Time - Raven's Choice,10-Dec-24,26230
Crisis Core: Final Fantasy VII - Reunion,20-Jul-24,205201
NieR Replicant ver.1.22474487139…,18-Jun-24,131999
Ninja Gaiden Σ,5-Aug-24,5974
Ninja Gaiden Σ2,23-Sep-24,7385
Ghost of Tsushima: Director's Cut,25-Sep-24,153700
Dragon Quest XI S: Echoes of an Elusive Age,22-Dec-23,11667
The Surge,20-Dec-23,11590
Call of Duty: Black Ops 6,10-Nov-24,302156
Lost Judgment: The Kaito Files,4-Jan-24,194819
Resident Evil 4,3-Mar-25,132181
Resident Evil 4: Separate Ways,8-Mar-25,266717
Fatal Frame III: The Tormented,18-Apr-25,5107
The Surge 2,1-Aug-25,86477
Brown dust II,26-Dec-25,196549
Chaos Zero Nightmare,6-Jan-26,350249
Zenless Zone Zero,25-Dec-25,200551
Wuchang: Fallen Feathers,24-Jul-25,171225
Wild Hearts,14-Feb-24,218793
"Warhammer 40,000: Space Marine 2",9-Sep-24,185252
"Warhammer 40,000: Space Marine",5-Sep-24,578
"Warhammer 40,000: Darktide (STEAM)",25-Jun-25,135998
VOID/BREAKER,20-Aug-25,339626
Visions of Mana,10-Oct-25,279636
Vindictus: Defying Fate  (DEMO),7-Jun-25,289155
Venba,28-Jul-24,141704
Vampire Survivors,10-Jan-25,186725
Vampire Crawlers: The Turbo Wildcard from Vampire Survivors,29-Apr-26,378229
Valor Mortis (Playtest),9-Oct-25,361833
Unicorn Overlord,22-May-26,68353
Undertale,28-Jul-24,12517
Uncharted: Lost Legacy,10-Dec-24,26193
Trials of Mana (2020),5-Oct-25,119391
Tinykin,23-Nov-24,152267
The Plucky Squire,17-Sep-24,204381
The Legend of Zelda: Ocarina of Time (SOH),15-Apr-24,176087
The Legend of Zelda: Majora's Mask 3D,11-Mar-24,8593
The Legend of Zelda: Echoes of Wisdom,1-Nov-24,306149
The Legend of Zelda: A Link to the Past,8-Nov-25,1026
The Last Guardian,29-Nov-24,117
The Last Case of Benedict Fox,1-Mar-24,204622
The First Descendant,31-Aug-24,208476
The Elder Scrolls IV: Oblivion Remastered,6-May-25,267306
The Dark Pictures' Anthology: Little Hope,13-Jan-24,122120
The Dark Pictures' Anthology: House of Ashes,9-Jan-24,140617
The Alters,17-Jun-25,204634
Tchia,7-Mar-24,134324
Tales of Kenzera: Zau,20-Oct-24,279641
Tales of Arise,3-Jan-25,119270
Tainted Grail: The Fall of Avalon,12-Mar-26,127697
SUPERHOT: MIND CONTROL DELETE,6-Sep-25,27448
Super Meat Boy 3D,16-May-26,348175
Super Mario RPG,11-Mar-24,254327
Super Mario Odyssey,17-Feb-22,26758
Summer Clover,28-Oct-25,258943
Stranger of Paradise: Final Fantasy Origin (PS4),19-Jul-24,152250
Stranger of Paradise: Final Fantasy Origin,19-Jul-24,152250
Still Wakes the Deep,1-Mar-25,252837
Stellar Blade (DEMO) (STEAM),1-Jun-25,117170
Stellar Blade (DEMO),5-Apr-24,117170
Stellar Blade,8-Jul-24,117170
Steel Hunters (Beta Playtest),13-Dec-24,301568
Star Wars Jedi: Survivor,12-Oct-24,201156
South Park: The Stick of Truth,24-Jun-24,1262
South Park: The Fractured But Whole,2-Jul-24,11161
South of Midnight,11-Apr-25,252826
Solar Ash,6-Mar-25,116156
Slay the Spire 2,6-Mar-26,296831
SILENT HILL f,23-Sep-25,222343
Silent Hill 2 (2024),6-Oct-24,222341
Sid Meier's Civilization VI,24-Dec-24,19130
Shadow of the Colossus,28-Jan-22,139896
Sea of Stars: Throes of the Watchmaker,20-May-25,314929
Sea of Stars,7-May-24,131890
Scarlet Nexus,9-Jan-24,133302
S.T.A.L.K.E.R.: Shadow of Chernobyl,29-Oct-21,320
S.T.A.L.K.E.R. 2: Heart of Chornobyl,20-Nov-24,101440
ROMEO IS A DEAD MAN,14-Feb-26,347119
Rollerdrome,6-Feb-24,203366
RoboCop: Rogue City - Unfinished Business,1-Nov-25,334672
RoboCop: Rogue City,28-Jul-25,154775
Resident Evil Requiem,2-Mar-26,347668
REPLACED,20-Apr-26,152244
REMATCH,19-Jun-25,325588
Ravenlok,24-Jun-23,204626
Ratchet & Clank: Rift Apart,14-Jul-24,134582
PRAGMATA,1-May-26,134612
Phantom Abyss,4-Apr-24,147021
Persona 3 Reload: Episode Aigis,10-Sep-24,289703
Persona 3 Reload,26-May-24,266009
Palworld,25-Jan-24,151665
Outer Wilds: Echoes of the Eye,16-Jun-24,146761
Octopath Traveler II,9-Jul-25,217554
No Man's Sky,4-Aug-24,3225
Nioh 3,12-Feb-26,347123
Ninja Gaiden: Ragebound (DEMO),8-Jun-25,325580
Ninja Gaiden: Ragebound,1-Aug-25,325580
Ninja Gaiden 4,21-Oct-25,329130
Ninja Gaiden 3: Razor's Edge,9-Nov-24,5317
Ninja Gaiden 2 BLACK,18-Apr-25,329132
Nine Sols,23-Jan-25,194821
NIKKE: Goddess of Victory,26-Dec-25,117199
New Super Mario Bros.,29-Mar-24,1076
Neon White,10-Oct-25,143612
My Friendly Neighborhood,23-Jul-25,172023
MULLET MADJACK,15-Mar-25,252445
MOUSE: P.I. For Hire,17-Apr-26,249324
Monster Hunter Wilds,8-Mar-25,279661
Monster Hunter Stories,10-Nov-25,9692
Monster Hunter Rise,9-Jan-25,207388
Mewgenics,14-Feb-26,8042
Metaphor: ReFantazio,31-May-25,26602
Mecha Break,1-Jul-25,279526
Marvel Rivals,15-Jan-25,294041
Mario vs. Donkey Kong,11-Mar-24,266674
Luigi's Mansion 2 HD,10-May-26,254328
Luigi's Mansion,11-Mar-24,90109
Lost Sword,10-Jan-26,353867
Lost Judgment,4-Jan-24,146851
Lords of the Fallen (2023),10-Aug-24,4847
Like a Dragon: Ishin!,23-Aug-24,217597
Lies of P: Overture,11-Jun-25,331204
Lies of P (STEAM),11-Jun-25,148241
Lies of P,22-Feb-24,148241
Kunitsu-Gami: Path of the Goddess,16-Nov-24,252835
Kingdom Come: Deliverance Royal Edition,12-Jan-25,4843
Kena: Bridge of Spirits,7-Aug-25,134588
Keeper,20-Oct-25,91388
Katana ZERO,4-Jun-20,20150
Jump King Quest,26-May-26,259095
It Takes Two,4-Nov-21,135243
Inscryption (PSN),30-Jun-23,139090
Indiana Jones and the Great Circle: The Order of Giants,27-Oct-25,321852
Indiana Jones and the Great Circle,9-Dec-24,142415
Immortals of Aveum,25-Jun-24,228531
I Am Your Beast,22-Sep-25,305180
Hollow Knight: Silksong,5-Sep-25,115289
Hollow Knight,16-Sep-25,14593
HITMAN: World of Assassination,18-Jan-24,233571
Helldivers 2,8-Mar-24,250616
Hell is Us (DEMO),5-Jun-25,196954
Haven,6-Mar-24,403429
Gravity Rush Remastered,27-Nov-24,12529
Gravity Rush 2,1-Dec-24,12528
Gears of War Ultimate Edition,2-Mar-25,318793
Forza Horizon 4 Ultimate Edition,16-Dec-24,82090
Final Fantasy XVI,5-Nov-25,31551
Final Fantasy VII Rebirth,7-Jun-26,133236
FBC: Firebreak,17-Jun-25,320144
Fatal Frame II: Crimson Butterfly,10-Apr-25,5105
Fatal Frame,12-Mar-25,5106
F.I.S.T. Forged in Shadow Torch,1-May-24,115851
F.E.A.R. Extraction Point,4-Jan-25,518
Evil West,6-Jul-24,141547
Elden Ring: Shadow of the Erdtree,28-Jun-24,240009
Elden Ring Nightreign,30-May-25,325591
Dragon's Dogma: Dark Arisen,23-Jan-24,16300
DOOM: The Dark Ages,15-May-25,302704
DOOM (2016) (STEAM),23-May-25,7351
Dispatch,15-Dec-25,325609
Diablo IV,5-Apr-24,125165
Destroy All Humans! 2: Reprobed,30-Jul-24,171214
Deep Rock Galactic,11-Mar-24,27134
Death Stranding 2: On The Beach,25-Mar-26,228530
Dead as Disco,8-May-26,341592
Dave the Diver (PS4),27-Jul-24,203722
Dave the Diver,22-Jul-24,203722
Cyberpunk 2077: Phantom Liberty,22-May-25,215769
Cronos: The New Dawn,10-Oct-25,320137
Crimson Desert,28-Mar-26,125633
Constance,3-May-26,258950
Cocoon,26-May-24,204627
Clash: Artifacts of Chaos,24-Nov-24,154769
Clair Obscur: Expedition 33,24-Apr-25,305152
Chrono Odyssey (Playtest),20-Jun-25,141444
Brotato,24-Sep-24,199116
Bright Memory,22-Aug-25,134072
Blue Prince,10-Apr-25,149657
Blasphemous,12-Jun-25,26820
Black Myth: Wukong,20-Jun-25,136879
Bayonetta 3,9-Apr-25,76888
Bayonetta 2,1-Mar-25,279336
Banishers: Ghosts of New Eden,13-Aug-25,228539
BALL x PIT,15-Oct-25,346035
Atomfall,4-Apr-25,305159
Astro's Playroom,12-Nov-20,134597
Assassin's Creed: Mirage,8-Aug-25,215060
ARMORED CORE VI: FIRES OF RUBICON,5-Apr-24,228542
Arknight Endfield,22-Jan-26,194558
ARC Raiders,28-Nov-25,185258
Ape Escape,22-Mar-24,3762
Another Crab's Treasure,27-Apr-24,200903
ANIMAL WELL,12-Oct-24,191435
Acts of Blood (DEMO),6-Jun-25,305550
A Short Hike,27-Jul-24,116753
33 Immortals,5-Apr-25,252828
